Date : 2022-06-20 14:59:09
Directory : c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots
Total : 184 files,  104852 codes, 3323 comments, 5732 blanks, all 113907 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\test\js\jquery-3.3.1.min.js                                           | JavaScript |          1 |          1 |          0 |          2 |
| c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\test\js\jquery.sticky.js                                              | JavaScript |        242 |         20 |         26 |        288 |
| c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\test\js\main.js                                                       | JavaScript |         66 |          1 |         20 |         87 |
| c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\test\js\owl.carousel.min.js                                           | JavaScript |          2 |          5 |          0 |          7 |
| c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\test\js\popper.min.js                                                 | JavaScript |          1 |          4 |          0 |          5 |
| c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\test\scss\bootstrap\_alert.scss                                       | SCSS       |         28 |         13 |         11 |         52 |
| c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\test\scss\bootstrap\_badge.scss                                       | SCSS       |         34 |         12 |          9 |         55 |
| c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\test\scss\bootstrap\_breadcrumb.scss                                  | SCSS       |         29 |          8 |          5 |         42 |
| c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\test\scss\bootstrap\_button-group.scss                                | SCSS       |        101 |         31 |         32 |        164 |
| c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\test\scss\bootstrap\_buttons.scss                                     | SCSS       |         87 |         22 |         29 |        138 |
| c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\test\scss\bootstrap\_card.scss                                        | SCSS       |        202 |         34 |         54 |        290 |
