"filename", "language", "HTML", "JavaScript", "CSS", "XML", "SCSS", "Markdown", "JSON", "comment", "blank", "total"
"c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\test\scss\bootstrap\utilities\_embed.scss", "SCSS", 0, 0, 0, 0, 33, 0, 0, 1, 6, 40
"c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\test\scss\bootstrap\utilities\_flex.scss", "SCSS", 0, 0, 0, 0, 39, 0, 0, 4, 9, 52
"c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\test\scss\bootstrap\utilities\_float.scss", "SCSS", 0, 0, 0, 0, 8, 0, 0, 1, 3, 12
"c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\test\scss\bootstrap\utilities\_overflow.scss", "SCSS", 0, 0, 0, 0, 3, 0, 0, 1, 2, 6
"c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\test\scss\bootstrap\utilities\_position.scss", "SCSS", 0, 0, 0, 0, 24, 0, 0, 3, 6, 33
"c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\test\scss\bootstrap\utilities\_screenreaders.scss", "SCSS", 0, 0, 0, 0, 6, 0, 0, 3, 3, 12
"c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\test\scss\bootstrap\utilities\_shadows.scss", "SCSS", 0, 0, 0, 0, 4, 0, 0, 1, 2, 7
"c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\test\scss\bootstrap\utilities\_sizing.scss", "SCSS", 0, 0, 0, 0, 11, 0, 0, 3, 7, 21
"c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\test\scss\bootstrap\utilities\_spacing.scss", "SCSS", 0, 0, 0, 0, 64, 0, 0, 4, 6, 74
"c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\test\scss\bootstrap\utilities\_stretched-link.scss", "SCSS", 0, 0, 0, 0, 13, 0, 0, 5, 2, 20
"c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\test\scss\bootstrap\utilities\_text.scss", "SCSS", 0, 0, 0, 0, 39, 0, 0, 11, 23, 73
"c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\test\scss\bootstrap\utilities\_visibility.scss", "SCSS", 0, 0, 0, 0, 6, 0, 0, 4, 4, 14
"c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\test\scss\bootstrap\vendor\_rfs.scss", "SCSS", 0, 0, 0, 0, 126, 0, 0, 43, 36, 205
"c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\test\scss\style.scss", "SCSS", 0, 0, 0, 0, 444, 0, 0, 16, 46, 506
"c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\the-news-reporter\assets\css\bootstrap.min.css", "CSS", 0, 0, 1, 0, 0, 0, 0, 8, 0, 9
"c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\the-news-reporter\assets\css\jquery.bxslider.css", "CSS", 0, 0, 28, 0, 0, 0, 0, 21, 8, 57
"c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\the-news-reporter\assets\css\responsive.css", "CSS", 0, 0, 69, 0, 0, 0, 0, 3, 4, 76
"c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\the-news-reporter\assets\css\style.css", "CSS", 0, 0, 118, 0, 0, 0, 0, 12, 1, 131
"c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\the-news-reporter\assets\font\font-awesome.min.css", "CSS", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\the-news-reporter\assets\font\font.css", "CSS", 0, 0, 10, 0, 0, 0, 0, 0, 0, 10
"c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\the-news-reporter\assets\font\fonts\bebas___-webfont.svg", "XML", 0, 0, 0, 2808, 0, 0, 0, 0, 0, 2808
"c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\the-news-reporter\assets\font\fonts\fontawesome-webfont.svg", "XML", 0, 0, 0, 399, 0, 0, 0, 0, 0, 399
"c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\the-news-reporter\assets\js\bootstrap.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 5, 0, 6
"c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\the-news-reporter\assets\js\jquery-min.js", "JavaScript", 0, 3, 0, 0, 0, 0, 0, 0, 0, 3
"c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\the-news-reporter\assets\js\jquery.bxslider.js", "JavaScript", 0, 784, 0, 0, 0, 0, 0, 464, 67, 1315
"c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\the-news-reporter\assets\js\selectnav.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 5, 0, 6
"c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\the-news-reporter\index.html", "HTML", 332, 0, 0, 0, 0, 0, 0, 0, 0, 332
"Total", "-", 26965, 5033, 20149, 5334, 6152, 29, 41190, 3323, 5732, 113907
